ID,Taste,Ambiance,Service,Worth_the_price,Menu_variety,Hygienic,Vegan_options,Smoking_area,Parking,Pet_friendly,Description
REST_011,78,78,78,yes,78,78,yes,yes,yes,no,"REST_011는 맛 점수 보통, 분위기 보통, 서비스 보통로 평가됩니다. 메뉴 다양성은 보통, 위생 점수는 보통입니다. 가격 대비 가치 점수는 좋음,비건옵션: 있음, 흡연구역: 있음, 주차공간: 있음, 반려동물: 불가."
REST_012,80,99,74,yes,80,80,yes,yes,yes,yes,"REST_012는 맛 점수 좋음, 분위기 매우 좋음, 서비스 보통로 평가됩니다. 메뉴 다양성은 좋음, 위생 점수는 좋음입니다. 가격 대비 가치 점수는 좋음,비건옵션: 있음, 흡연구역: 있음, 주차공간: 있음, 반려동물: 가능."
REST_013,20,90,20,no,54,86,no,yes,no,no,"REST_013는 맛 점수 비추, 분위기 매우 좋음, 서비스 비추로 평가됩니다. 메뉴 다양성은 비추, 위생 점수는 좋음입니다. 가격 대비 가치 점수는 안좋음,비건옵션: 없음, 흡연구역: 있음, 주차공간: 없음, 반려동물: 불가."
REST_014,31,31,21,yes,26,28,yes,yes,yes,yes,"REST_014는 맛 점수 비추, 분위기 비추, 서비스 비추로 평가됩니다. 메뉴 다양성은 비추, 위생 점수는 비추입니다. 가격 대비 가치 점수는 좋음,비건옵션: 있음, 흡연구역: 있음, 주차공간: 있음, 반려동물: 가능."
REST_015,49,49,20,yes,40,40,no,yes,no,no,"REST_015는 맛 점수 비추, 분위기 비추, 서비스 비추로 평가됩니다. 메뉴 다양성은 비추, 위생 점수는 비추입니다. 가격 대비 가치 점수는 좋음,비건옵션: 없음, 흡연구역: 있음, 주차공간: 없음, 반려동물: 불가."
REST_016,71,90,78,no,85,79,yes,yes,yes,yes,"REST_016는 맛 점수 보통, 분위기 매우 좋음, 서비스 보통로 평가됩니다. 메뉴 다양성은 좋음, 위생 점수는 보통입니다. 가격 대비 가치 점수는 안좋음,비건옵션: 있음, 흡연구역: 있음, 주차공간: 있음, 반려동물: 가능."
REST_017,85,86,85,no,50,90,yes,yes,no,no,"REST_017는 맛 점수 좋음, 분위기 좋음, 서비스 좋음로 평가됩니다. 메뉴 다양성은 비추, 위생 점수는 매우 좋음입니다. 가격 대비 가치 점수는 안좋음,비건옵션: 있음, 흡연구역: 있음, 주차공간: 없음, 반려동물: 불가."
REST_018,90,90,90,no,20,50,yes,no,yes,yes,"REST_018는 맛 점수 매우 좋음, 분위기 매우 좋음, 서비스 매우 좋음로 평가됩니다. 메뉴 다양성은 비추, 위생 점수는 비추입니다. 가격 대비 가치 점수는 안좋음,비건옵션: 있음, 흡연구역: 없음, 주차공간: 있음, 반려동물: 가능."
REST_019,49,75,26,yes,56,54,yes,no,yes,yes,"REST_019는 맛 점수 비추, 분위기 보통, 서비스 비추로 평가됩니다. 메뉴 다양성은 비추, 위생 점수는 비추입니다. 가격 대비 가치 점수는 좋음,비건옵션: 있음, 흡연구역: 없음, 주차공간: 있음, 반려동물: 가능."
REST_020,60,80,61,yes,28,50,no,no,yes,yes,"REST_020는 맛 점수 보통, 분위기 좋음, 서비스 보통로 평가됩니다. 메뉴 다양성은 비추, 위생 점수는 비추입니다. 가격 대비 가치 점수는 좋음,비건옵션: 없음, 흡연구역: 없음, 주차공간: 있음, 반려동물: 가능."
REST_021,50,26,28,no,47,23,yes,no,no,no,"REST_021는 맛 점수 비추, 분위기 비추, 서비스 비추로 평가됩니다. 메뉴 다양성은 비추, 위생 점수는 비추입니다. 가격 대비 가치 점수는 안좋음,비건옵션: 있음, 흡연구역: 없음, 주차공간: 없음, 반려동물: 불가."
REST_022,22,40,40,no,20,20,yes,no,yes,yes,"REST_022는 맛 점수 비추, 분위기 비추, 서비스 비추로 평가됩니다. 메뉴 다양성은 비추, 위생 점수는 비추입니다. 가격 대비 가치 점수는 안좋음,비건옵션: 있음, 흡연구역: 없음, 주차공간: 있음, 반려동물: 가능."
REST_023,21,36,36,no,31,31,yes,yes,no,no,"REST_023는 맛 점수 비추, 분위기 비추, 서비스 비추로 평가됩니다. 메뉴 다양성은 비추, 위생 점수는 비추입니다. 가격 대비 가치 점수는 안좋음,비건옵션: 있음, 흡연구역: 있음, 주차공간: 없음, 반려동물: 불가."
REST_024,20,26,31,no,49,49,no,yes,no,yes,"REST_024는 맛 점수 비추, 분위기 비추, 서비스 비추로 평가됩니다. 메뉴 다양성은 비추, 위생 점수는 비추입니다. 가격 대비 가치 점수는 안좋음,비건옵션: 없음, 흡연구역: 있음, 주차공간: 없음, 반려동물: 가능."
REST_025,65,61,65,no,60,60,no,yes,no,no,"REST_025는 맛 점수 보통, 분위기 보통, 서비스 보통로 평가됩니다. 메뉴 다양성은 보통, 위생 점수는 보통입니다. 가격 대비 가치 점수는 안좋음,비건옵션: 없음, 흡연구역: 있음, 주차공간: 없음, 반려동물: 불가."
REST_026,80,85,79,yes,61,65,no,no,no,no,"REST_026는 맛 점수 좋음, 분위기 좋음, 서비스 보통로 평가됩니다. 메뉴 다양성은 보통, 위생 점수는 보통입니다. 가격 대비 가치 점수는 좋음,비건옵션: 없음, 흡연구역: 없음, 주차공간: 없음, 반려동물: 불가."
REST_027,90,20,90,no,78,78,no,yes,no,yes,"REST_027는 맛 점수 매우 좋음, 분위기 비추, 서비스 매우 좋음로 평가됩니다. 메뉴 다양성은 보통, 위생 점수는 보통입니다. 가격 대비 가치 점수는 안좋음,비건옵션: 없음, 흡연구역: 있음, 주차공간: 없음, 반려동물: 가능."
REST_028,86,86,86,no,85,85,no,no,no,no,"REST_028는 맛 점수 좋음, 분위기 좋음, 서비스 좋음로 평가됩니다. 메뉴 다양성은 좋음, 위생 점수는 좋음입니다. 가격 대비 가치 점수는 안좋음,비건옵션: 없음, 흡연구역: 없음, 주차공간: 없음, 반려동물: 불가."
REST_029,47,31,26,no,40,22,no,no,yes,yes,"REST_029는 맛 점수 비추, 분위기 비추, 서비스 비추로 평가됩니다. 메뉴 다양성은 비추, 위생 점수는 비추입니다. 가격 대비 가치 점수는 안좋음,비건옵션: 없음, 흡연구역: 없음, 주차공간: 있음, 반려동물: 가능."
REST_030,20,49,40,no,36,21,no,no,yes,no,"REST_030는 맛 점수 비추, 분위기 비추, 서비스 비추로 평가됩니다. 메뉴 다양성은 비추, 위생 점수는 비추입니다. 가격 대비 가치 점수는 안좋음,비건옵션: 없음, 흡연구역: 없음, 주차공간: 있음, 반려동물: 불가."
REST_031,31,60,36,no,31,20,no,no,yes,no,"REST_031는 맛 점수 비추, 분위기 보통, 서비스 비추로 평가됩니다. 메뉴 다양성은 비추, 위생 점수는 비추입니다. 가격 대비 가치 점수는 안좋음,비건옵션: 없음, 흡연구역: 없음, 주차공간: 있음, 반려동물: 불가."
REST_032,49,75,26,no,65,65,yes,no,yes,no,"REST_032는 맛 점수 비추, 분위기 보통, 서비스 비추로 평가됩니다. 메뉴 다양성은 보통, 위생 점수는 보통입니다. 가격 대비 가치 점수는 안좋음,비건옵션: 있음, 흡연구역: 없음, 주차공간: 있음, 반려동물: 불가."
REST_033,60,60,65,yes,36,36,yes,no,no,yes,"REST_033는 맛 점수 보통, 분위기 보통, 서비스 보통로 평가됩니다. 메뉴 다양성은 비추, 위생 점수는 비추입니다. 가격 대비 가치 점수는 좋음,비건옵션: 있음, 흡연구역: 없음, 주차공간: 없음, 반려동물: 가능."
REST_034,75,71,69,yes,26,31,no,yes,yes,yes,"REST_034는 맛 점수 보통, 분위기 보통, 서비스 보통로 평가됩니다. 메뉴 다양성은 비추, 위생 점수는 비추입니다. 가격 대비 가치 점수는 좋음,비건옵션: 없음, 흡연구역: 있음, 주차공간: 있음, 반려동물: 가능."
REST_035,86,86,86,no,56,54,no,yes,no,no,"REST_035는 맛 점수 좋음, 분위기 좋음, 서비스 좋음로 평가됩니다. 메뉴 다양성은 비추, 위생 점수는 비추입니다. 가격 대비 가치 점수는 안좋음,비건옵션: 없음, 흡연구역: 있음, 주차공간: 없음, 반려동물: 불가."
REST_036,90,90,90,no,28,50,yes,no,yes,yes,"REST_036는 맛 점수 매우 좋음, 분위기 매우 좋음, 서비스 매우 좋음로 평가됩니다. 메뉴 다양성은 비추, 위생 점수는 비추입니다. 가격 대비 가치 점수는 안좋음,비건옵션: 있음, 흡연구역: 없음, 주차공간: 있음, 반려동물: 가능."
REST_037,60,60,65,yes,36,36,no,yes,no,no,"REST_037는 맛 점수 보통, 분위기 보통, 서비스 보통로 평가됩니다. 메뉴 다양성은 비추, 위생 점수는 비추입니다. 가격 대비 가치 점수는 좋음,비건옵션: 없음, 흡연구역: 있음, 주차공간: 없음, 반려동물: 불가."
REST_038,75,71,69,yes,26,31,yes,yes,yes,no,"REST_038는 맛 점수 보통, 분위기 보통, 서비스 보통로 평가됩니다. 메뉴 다양성은 비추, 위생 점수는 비추입니다. 가격 대비 가치 점수는 좋음,비건옵션: 있음, 흡연구역: 있음, 주차공간: 있음, 반려동물: 불가."
REST_039,69,78,78,no,71,75,no,yes,no,yes,"REST_039는 맛 점수 보통, 분위기 보통, 서비스 보통로 평가됩니다. 메뉴 다양성은 보통, 위생 점수는 보통입니다. 가격 대비 가치 점수는 안좋음,비건옵션: 없음, 흡연구역: 있음, 주차공간: 없음, 반려동물: 가능."
REST_040,79,85,85,no,85,80,no,yes,no,no,"REST_040는 맛 점수 보통, 분위기 좋음, 서비스 좋음로 평가됩니다. 메뉴 다양성은 좋음, 위생 점수는 좋음입니다. 가격 대비 가치 점수는 안좋음,비건옵션: 없음, 흡연구역: 있음, 주차공간: 없음, 반려동물: 불가."
REST_041,90,20,50,no,20,90,yes,no,no,no,"REST_041는 맛 점수 매우 좋음, 분위기 비추, 서비스 비추로 평가됩니다. 메뉴 다양성은 비추, 위생 점수는 매우 좋음입니다. 가격 대비 가치 점수는 안좋음,비건옵션: 있음, 흡연구역: 없음, 주차공간: 없음, 반려동물: 불가."
REST_042,86,56,54,no,86,86,yes,no,yes,no,"REST_042는 맛 점수 좋음, 분위기 비추, 서비스 비추로 평가됩니다. 메뉴 다양성은 좋음, 위생 점수는 좋음입니다. 가격 대비 가치 점수는 안좋음,비건옵션: 있음, 흡연구역: 없음, 주차공간: 있음, 반려동물: 불가."
REST_043,85,86,85,no,50,90,no,no,no,yes,"REST_043는 맛 점수 좋음, 분위기 좋음, 서비스 좋음로 평가됩니다. 메뉴 다양성은 비추, 위생 점수는 매우 좋음입니다. 가격 대비 가치 점수는 안좋음,비건옵션: 없음, 흡연구역: 없음, 주차공간: 없음, 반려동물: 가능."
REST_044,20,90,20,yes,54,86,no,yes,yes,yes,"REST_044는 맛 점수 비추, 분위기 매우 좋음, 서비스 비추로 평가됩니다. 메뉴 다양성은 비추, 위생 점수는 좋음입니다. 가격 대비 가치 점수는 좋음,비건옵션: 없음, 흡연구역: 있음, 주차공간: 있음, 반려동물: 가능."
REST_045,31,31,21,yes,26,28,no,no,yes,no,"REST_045는 맛 점수 비추, 분위기 비추, 서비스 비추로 평가됩니다. 메뉴 다양성은 비추, 위생 점수는 비추입니다. 가격 대비 가치 점수는 좋음,비건옵션: 없음, 흡연구역: 없음, 주차공간: 있음, 반려동물: 불가."
REST_046,49,49,20,yes,40,40,yes,yes,no,no,"REST_046는 맛 점수 비추, 분위기 비추, 서비스 비추로 평가됩니다. 메뉴 다양성은 비추, 위생 점수는 비추입니다. 가격 대비 가치 점수는 좋음,비건옵션: 있음, 흡연구역: 있음, 주차공간: 없음, 반려동물: 불가."
REST_047,54,86,86,no,86,56,no,no,yes,no,"REST_047는 맛 점수 비추, 분위기 좋음, 서비스 좋음로 평가됩니다. 메뉴 다양성은 좋음, 위생 점수는 비추입니다. 가격 대비 가치 점수는 안좋음,비건옵션: 없음, 흡연구역: 없음, 주차공간: 있음, 반려동물: 불가."
REST_048,65,61,65,yes,23,26,yes,yes,no,no,"REST_048는 맛 점수 보통, 분위기 보통, 서비스 보통로 평가됩니다. 메뉴 다양성은 비추, 위생 점수는 비추입니다. 가격 대비 가치 점수는 좋음,비건옵션: 있음, 흡연구역: 있음, 주차공간: 없음, 반려동물: 불가."
REST_049,80,85,79,yes,61,65,no,yes,no,no,"REST_049는 맛 점수 좋음, 분위기 좋음, 서비스 보통로 평가됩니다. 메뉴 다양성은 보통, 위생 점수는 보통입니다. 가격 대비 가치 점수는 좋음,비건옵션: 없음, 흡연구역: 있음, 주차공간: 없음, 반려동물: 불가."
REST_050,65,60,65,no,60,61,yes,no,yes,no,"REST_050는 맛 점수 보통, 분위기 보통, 서비스 보통로 평가됩니다. 메뉴 다양성은 보통, 위생 점수는 보통입니다. 가격 대비 가치 점수는 안좋음,비건옵션: 있음, 흡연구역: 없음, 주차공간: 있음, 반려동물: 불가."
REST_051,78,71,69,no,75,78,yes,yes,yes,no,"REST_051는 맛 점수 보통, 분위기 보통, 서비스 보통로 평가됩니다. 메뉴 다양성은 보통, 위생 점수는 보통입니다. 가격 대비 가치 점수는 안좋음,비건옵션: 있음, 흡연구역: 있음, 주차공간: 있음, 반려동물: 불가."
REST_052,85,85,79,no,80,85,no,no,yes,no,"REST_052는 맛 점수 좋음, 분위기 좋음, 서비스 보통로 평가됩니다. 메뉴 다양성은 좋음, 위생 점수는 좋음입니다. 가격 대비 가치 점수는 안좋음,비건옵션: 없음, 흡연구역: 없음, 주차공간: 있음, 반려동물: 불가."
REST_053,50,20,90,no,90,20,yes,no,no,no,"REST_053는 맛 점수 비추, 분위기 비추, 서비스 매우 좋음로 평가됩니다. 메뉴 다양성은 매우 좋음, 위생 점수는 비추입니다. 가격 대비 가치 점수는 안좋음,비건옵션: 있음, 흡연구역: 없음, 주차공간: 없음, 반려동물: 불가."
REST_054,90,20,35,yes,78,78,yes,yes,no,yes,"REST_054는 맛 점수 매우 좋음, 분위기 비추, 서비스 비추로 평가됩니다. 메뉴 다양성은 보통, 위생 점수는 보통입니다. 가격 대비 가치 점수는 좋음,비건옵션: 있음, 흡연구역: 있음, 주차공간: 없음, 반려동물: 가능."
REST_055,86,86,86,no,85,85,no,yes,yes,yes,"REST_055는 맛 점수 좋음, 분위기 좋음, 서비스 좋음로 평가됩니다. 메뉴 다양성은 좋음, 위생 점수는 좋음입니다. 가격 대비 가치 점수는 안좋음,비건옵션: 없음, 흡연구역: 있음, 주차공간: 있음, 반려동물: 가능."
REST_056,28,47,50,no,23,26,yes,yes,no,no,"REST_056는 맛 점수 비추, 분위기 비추, 서비스 비추로 평가됩니다. 메뉴 다양성은 비추, 위생 점수는 비추입니다. 가격 대비 가치 점수는 안좋음,비건옵션: 있음, 흡연구역: 있음, 주차공간: 없음, 반려동물: 불가."
REST_057,40,20,22,no,20,40,yes,yes,no,yes,"REST_057는 맛 점수 비추, 분위기 비추, 서비스 비추로 평가됩니다. 메뉴 다양성은 비추, 위생 점수는 비추입니다. 가격 대비 가치 점수는 안좋음,비건옵션: 있음, 흡연구역: 있음, 주차공간: 없음, 반려동물: 가능."
REST_058,36,31,21,no,31,36,yes,yes,yes,no,"REST_058는 맛 점수 비추, 분위기 비추, 서비스 비추로 평가됩니다. 메뉴 다양성은 비추, 위생 점수는 비추입니다. 가격 대비 가치 점수는 안좋음,비건옵션: 있음, 흡연구역: 있음, 주차공간: 있음, 반려동물: 불가."
REST_059,31,49,20,no,49,26,no,yes,no,no,"REST_059는 맛 점수 비추, 분위기 비추, 서비스 비추로 평가됩니다. 메뉴 다양성은 비추, 위생 점수는 비추입니다. 가격 대비 가치 점수는 안좋음,비건옵션: 없음, 흡연구역: 있음, 주차공간: 없음, 반려동물: 불가."
REST_060,78,71,69,no,75,78,yes,no,yes,no,"REST_060는 맛 점수 보통, 분위기 보통, 서비스 보통로 평가됩니다. 메뉴 다양성은 보통, 위생 점수는 보통입니다. 가격 대비 가치 점수는 안좋음,비건옵션: 있음, 흡연구역: 없음, 주차공간: 있음, 반려동물: 불가."
REST_061,85,85,79,no,80,85,yes,no,no,no,"REST_061는 맛 점수 좋음, 분위기 좋음, 서비스 보통로 평가됩니다. 메뉴 다양성은 좋음, 위생 점수는 좋음입니다. 가격 대비 가치 점수는 안좋음,비건옵션: 있음, 흡연구역: 없음, 주차공간: 없음, 반려동물: 불가."
REST_062,60,60,60,no,60,60,yes,yes,yes,no,"REST_062는 맛 점수 보통, 분위기 보통, 서비스 보통로 평가됩니다. 메뉴 다양성은 보통, 위생 점수는 보통입니다. 가격 대비 가치 점수는 안좋음,비건옵션: 있음, 흡연구역: 있음, 주차공간: 있음, 반려동물: 불가."
REST_063,75,75,75,no,75,75,yes,yes,no,yes,"REST_063는 맛 점수 보통, 분위기 보통, 서비스 보통로 평가됩니다. 메뉴 다양성은 보통, 위생 점수는 보통입니다. 가격 대비 가치 점수는 안좋음,비건옵션: 있음, 흡연구역: 있음, 주차공간: 없음, 반려동물: 가능."
REST_064,49,49,20,yes,61,65,yes,no,yes,yes,"REST_064는 맛 점수 비추, 분위기 비추, 서비스 비추로 평가됩니다. 메뉴 다양성은 보통, 위생 점수는 보통입니다. 가격 대비 가치 점수는 좋음,비건옵션: 있음, 흡연구역: 없음, 주차공간: 있음, 반려동물: 가능."
REST_065,60,60,65,yes,78,78,yes,no,yes,no,"REST_065는 맛 점수 보통, 분위기 보통, 서비스 보통로 평가됩니다. 메뉴 다양성은 보통, 위생 점수는 보통입니다. 가격 대비 가치 점수는 좋음,비건옵션: 있음, 흡연구역: 없음, 주차공간: 있음, 반려동물: 불가."
REST_066,75,71,69,yes,85,85,yes,yes,no,no,"REST_066는 맛 점수 보통, 분위기 보통, 서비스 보통로 평가됩니다. 메뉴 다양성은 좋음, 위생 점수는 좋음입니다. 가격 대비 가치 점수는 좋음,비건옵션: 있음, 흡연구역: 있음, 주차공간: 없음, 반려동물: 불가."
REST_067,80,85,79,yes,23,26,no,yes,no,yes,"REST_067는 맛 점수 좋음, 분위기 좋음, 서비스 보통로 평가됩니다. 메뉴 다양성은 비추, 위생 점수는 비추입니다. 가격 대비 가치 점수는 좋음,비건옵션: 없음, 흡연구역: 있음, 주차공간: 없음, 반려동물: 가능."
REST_068,90,20,40,yes,20,40,no,no,no,yes,"REST_068는 맛 점수 매우 좋음, 분위기 비추, 서비스 비추로 평가됩니다. 메뉴 다양성은 비추, 위생 점수는 비추입니다. 가격 대비 가치 점수는 좋음,비건옵션: 없음, 흡연구역: 없음, 주차공간: 없음, 반려동물: 가능."
REST_069,86,86,86,no,31,36,yes,yes,no,yes,"REST_069는 맛 점수 좋음, 분위기 좋음, 서비스 좋음로 평가됩니다. 메뉴 다양성은 비추, 위생 점수는 비추입니다. 가격 대비 가치 점수는 안좋음,비건옵션: 있음, 흡연구역: 있음, 주차공간: 없음, 반려동물: 가능."
REST_070,28,47,50,yes,49,26,yes,no,no,no,"REST_070는 맛 점수 비추, 분위기 비추, 서비스 비추로 평가됩니다. 메뉴 다양성은 비추, 위생 점수는 비추입니다. 가격 대비 가치 점수는 좋음,비건옵션: 있음, 흡연구역: 없음, 주차공간: 없음, 반려동물: 불가."
REST_071,100,100,100,no,100,100,yes,yes,no,no,"REST_071는 맛 점수 매우 좋음, 분위기 매우 좋음, 서비스 매우 좋음로 평가됩니다. 메뉴 다양성은 매우 좋음, 위생 점수는 매우 좋음입니다. 가격 대비 가치 점수는 안좋음,비건옵션: 있음, 흡연구역: 있음, 주차공간: 없음, 반려동물: 불가."
REST_072,99,99,99,no,99,99,yes,no,no,no,"REST_072는 맛 점수 매우 좋음, 분위기 매우 좋음, 서비스 매우 좋음로 평가됩니다. 메뉴 다양성은 매우 좋음, 위생 점수는 매우 좋음입니다. 가격 대비 가치 점수는 안좋음,비건옵션: 있음, 흡연구역: 없음, 주차공간: 없음, 반려동물: 불가."
REST_073,98,98,98,no,98,98,yes,yes,no,no,"REST_073는 맛 점수 매우 좋음, 분위기 매우 좋음, 서비스 매우 좋음로 평가됩니다. 메뉴 다양성은 매우 좋음, 위생 점수는 매우 좋음입니다. 가격 대비 가치 점수는 안좋음,비건옵션: 있음, 흡연구역: 있음, 주차공간: 없음, 반려동물: 불가."
REST_074,80,80,80,no,80,80,yes,no,no,no,"REST_074는 맛 점수 좋음, 분위기 좋음, 서비스 좋음로 평가됩니다. 메뉴 다양성은 좋음, 위생 점수는 좋음입니다. 가격 대비 가치 점수는 안좋음,비건옵션: 있음, 흡연구역: 없음, 주차공간: 없음, 반려동물: 불가."
REST_075,78,78,78,no,60,78,no,yes,no,yes,"REST_075는 맛 점수 보통, 분위기 보통, 서비스 보통로 평가됩니다. 메뉴 다양성은 보통, 위생 점수는 보통입니다. 가격 대비 가치 점수는 안좋음,비건옵션: 없음, 흡연구역: 있음, 주차공간: 없음, 반려동물: 가능."
REST_076,36,31,21,yes,75,78,no,yes,yes,no,"REST_076는 맛 점수 비추, 분위기 비추, 서비스 비추로 평가됩니다. 메뉴 다양성은 보통, 위생 점수는 보통입니다. 가격 대비 가치 점수는 좋음,비건옵션: 없음, 흡연구역: 있음, 주차공간: 있음, 반려동물: 불가."
REST_077,13,20,5,no,6,7,yes,yes,no,no,"REST_077는 맛 점수 비추, 분위기 비추, 서비스 비추로 평가됩니다. 메뉴 다양성은 비추, 위생 점수는 비추입니다. 가격 대비 가치 점수는 안좋음,비건옵션: 있음, 흡연구역: 있음, 주차공간: 없음, 반려동물: 불가."
REST_078,31,49,20,yes,80,85,yes,yes,no,no,"REST_078는 맛 점수 비추, 분위기 비추, 서비스 비추로 평가됩니다. 메뉴 다양성은 좋음, 위생 점수는 좋음입니다. 가격 대비 가치 점수는 좋음,비건옵션: 있음, 흡연구역: 있음, 주차공간: 없음, 반려동물: 불가."
REST_079,65,60,65,yes,90,20,yes,yes,yes,yes,"REST_079는 맛 점수 보통, 분위기 보통, 서비스 보통로 평가됩니다. 메뉴 다양성은 매우 좋음, 위생 점수는 비추입니다. 가격 대비 가치 점수는 좋음,비건옵션: 있음, 흡연구역: 있음, 주차공간: 있음, 반려동물: 가능."
REST_080,1,5,5,no,5,5,no,yes,yes,yes,"REST_080는 맛 점수 비추, 분위기 비추, 서비스 비추로 평가됩니다. 메뉴 다양성은 비추, 위생 점수는 비추입니다. 가격 대비 가치 점수는 안좋음,비건옵션: 없음, 흡연구역: 있음, 주차공간: 있음, 반려동물: 가능."
REST_081,15,17,25,no,25,25,no,yes,no,yes,"REST_081는 맛 점수 비추, 분위기 비추, 서비스 비추로 평가됩니다. 메뉴 다양성은 비추, 위생 점수는 비추입니다. 가격 대비 가치 점수는 안좋음,비건옵션: 없음, 흡연구역: 있음, 주차공간: 없음, 반려동물: 가능."
REST_082,22,23,36,no,32,25,no,yes,yes,no,"REST_082는 맛 점수 비추, 분위기 비추, 서비스 비추로 평가됩니다. 메뉴 다양성은 비추, 위생 점수는 비추입니다. 가격 대비 가치 점수는 안좋음,비건옵션: 없음, 흡연구역: 있음, 주차공간: 있음, 반려동물: 불가."
REST_083,8,8,8,no,8,8,no,yes,yes,no,"REST_083는 맛 점수 비추, 분위기 비추, 서비스 비추로 평가됩니다. 메뉴 다양성은 비추, 위생 점수는 비추입니다. 가격 대비 가치 점수는 안좋음,비건옵션: 없음, 흡연구역: 있음, 주차공간: 있음, 반려동물: 불가."
REST_084,90,20,20,yes,31,36,yes,yes,yes,yes,"REST_084는 맛 점수 매우 좋음, 분위기 비추, 서비스 비추로 평가됩니다. 메뉴 다양성은 비추, 위생 점수는 비추입니다. 가격 대비 가치 점수는 좋음,비건옵션: 있음, 흡연구역: 있음, 주차공간: 있음, 반려동물: 가능."
REST_085,71,90,78,no,40,40,no,no,yes,no,"REST_085는 맛 점수 보통, 분위기 매우 좋음, 서비스 보통로 평가됩니다. 메뉴 다양성은 비추, 위생 점수는 비추입니다. 가격 대비 가치 점수는 안좋음,비건옵션: 없음, 흡연구역: 없음, 주차공간: 있음, 반려동물: 불가."
REST_086,85,86,85,no,36,36,no,no,no,yes,"REST_086는 맛 점수 좋음, 분위기 좋음, 서비스 좋음로 평가됩니다. 메뉴 다양성은 비추, 위생 점수는 비추입니다. 가격 대비 가치 점수는 안좋음,비건옵션: 없음, 흡연구역: 없음, 주차공간: 없음, 반려동물: 가능."
REST_087,20,90,20,no,26,31,no,no,no,yes,"REST_087는 맛 점수 비추, 분위기 매우 좋음, 서비스 비추로 평가됩니다. 메뉴 다양성은 비추, 위생 점수는 비추입니다. 가격 대비 가치 점수는 안좋음,비건옵션: 없음, 흡연구역: 없음, 주차공간: 없음, 반려동물: 가능."
